Iteracion,led_x,led_y,Diferencia,Data,Simuladas
5,1,1,738401808920.0312,738878198979.5715,476389860.0
5,2,1,6581252887.722417,6586159214.830336,4915022.0
5,2,2,6406610961.905492,6411493542.631418,4899564.5
5,2,3,5129017872.594486,5134657261.779477,5640359.5
5,2,4,5029424392.92145,5035546404.2617445,6124512.0
5,2,5,5688149351.309915,5694821424.617316,6689499.0
5,2,6,7021524493.152819,7027264119.469016,5739624.5
5,2,7,6715747667.205321,6721855762.476812,6133084.0
5,2,8,5508954934.15777,5515736067.609745,6794297.5
5,2,9,5161379958.83737,5168102325.380878,6837128.5
5,2,10,5265519471.336,5271771604.487457,6295237.0
5,3,1,1619455738.2178898,1619602522.5143542,146784.36
5,3,2,1564727385.9278955,1564783605.3556068,56317.766
5,3,3,1424085773.2362232,1424090294.4627693,4521.2295
5,3,4,1024609259.0339838,1024613239.2043127,3980.1714
5,3,5,866351475.7914284,866402081.2332573,50608.324
5,3,6,954528771.7925969,954629263.131695,100491.39
5,3,7,940318887.7881854,940372309.4501846,53421.74
5,3,8,1119918332.0806901,1119922415.9048846,4083.829
5,3,9,1305785520.1716785,1305789821.001466,4300.829
5,3,10,1498225275.7537081,1498288913.0628552,63637.363
5,3,11,1687646372.6872735,1687797078.1699812,150705.48
5,3,12,1601219345.5171776,1601293935.6240332,74590.12
5,3,13,1485185884.848783,1485192010.8851254,6126.041
5,3,14,1059219101.2847837,1059223915.0770835,4813.7974
5,3,15,987497778.7630155,987554396.5530912,56617.867
5,3,16,1012071112.3203787,1012173293.5871694,102181.26
5,3,17,1057186278.6232274,1057236096.6146939,49817.973
5,3,18,1203749196.1236284,1203752607.4674962,3411.3447
5,3,19,1294255731.4145458,1294261266.7517586,5535.3384
5,3,20,1413728990.3057268,1413804146.1214848,75155.79
5,4,1,860381101.4953555,860428704.2660555,47602.805
5,4,2,738271673.8908949,738275602.1572465,3928.262
5,4,3,627707208.407173,627707406.7487863,198.34148
5,4,4,402144931.8640075,402145126.6640088,194.79987
5,4,5,326500580.80799925,326503360.3924015,2779.5828
5,4,6,402606388.8173448,402624805.5309394,18416.734
5,4,7,436983041.25303847,436986241.73106676,3200.4785
5,4,8,526126123.9150791,526126328.1985645,204.28363
5,4,9,673989482.5350087,673989692.2128453,209.6778
5,4,10,684726927.1197848,684730812.477027,3885.3591
5,4,11,756696656.946225,756745334.2637974,48677.312
5,4,12,762238575.6271465,762243052.0694401,4476.4414
5,4,13,689106023.028443,689106236.3166319,213.28824
5,4,14,388664464.2952303,388664674.2847063,209.98958
5,4,15,363232468.1674133,363235784.23084795,3316.0642
5,4,16,393950952.55981934,393969569.6392121,18617.09
5,4,17,477005464.3136248,477008123.09995174,2658.7854
5,4,18,570577735.7172091,570577941.5590378,205.84193
5,4,19,651271049.6348351,651271262.3578537,212.72284
5,4,20,667712514.527379,667716997.5052273,4483.3936
5,5,1,614960144.5721989,614988326.9197292,28182.354
5,5,2,434634836.4879314,434636721.168822,1884.6816
5,5,3,390564301.45945245,390564392.98566854,91.526245
5,5,4,289363529.89601016,289363578.965645,49.069687
5,5,5,203853801.16420785,203853866.93323895,65.76898
5,5,6,176882144.96035144,176882586.88991296,441.9298
5,5,7,201349037.6468976,201358238.04812738,9200.3955
5,5,8,210576401.44787058,210580013.97442982,3612.529
5,5,9,238397319.52410638,238397422.49046463,102.966415
5,5,10,262978427.0909529,262978482.8752917,55.78436
5,5,11,339567398.3031436,339567468.10595834,69.80288
5,5,12,420960639.27689254,420960852.6865041,213.40987
5,5,13,519826719.84813225,519845484.67715114,18764.826
5,5,14,419838109.18072945,419858699.129418,20589.965
5,5,15,402166850.2447282,402167152.3656823,302.12125
5,5,16,354870127.35869795,354870198.8469927,71.48829
5,5,17,227943450.33018574,227943506.85059258,56.52042
5,5,18,204996668.55410245,204996777.23507917,108.68091
5,5,19,183813256.60276696,183817348.17523563,4091.575
5,5,20,203966183.99592865,203976107.27154845,9923.28
5,5,21,248312996.18078417,248313409.4742315,413.29303
5,5,22,265582802.15269518,265582868.61358154,66.46088
5,5,23,298645721.2227727,298645771.38975316,50.166996
5,5,24,373506428.16822827,373506520.7638389,92.59555
5,5,25,471954611.5020162,471956962.275623,2350.7732
10,1,1,738307760534.561,738878198979.5715,570438800.0
10,2,1,6580566027.345653,6586159214.830336,5605578.5
10,2,2,6405944564.381434,6411493542.631418,5569099.5
10,2,3,5128214079.2285385,5134657261.779477,6447524.5
10,2,4,5028501565.607481,5035546404.2617445,7048181.5
10,2,5,5687126577.760586,5694821424.617316,7718583.5
10,2,6,7020639295.853299,7027264119.469016,6624819.0
10,2,7,6714839468.57951,6721855762.476812,7054603.0
10,2,8,5507931927.514223,5515736067.609745,7819118.5
10,2,9,5160371050.87222,5168102325.380878,7879863.0
10,2,10,5264578763.324589,5271771604.487457,7254017.5
10,3,1,1619455150.2761502,1619602522.5143542,147372.22
10,3,2,1564727224.5943398,1564783605.3556068,56478.848
10,3,3,1424085763.0409834,1424090294.4627693,4531.417
10,3,4,1024609258.4744242,1024613239.2043127,3980.729
10,3,5,866351427.5752113,866402081.2332573,50656.52
10,3,6,954528649.0208296,954629263.131695,100614.05
10,3,7,940318830.4918456,940372309.4501846,53478.96
10,3,8,1119918324.700877,1119922415.9048846,4091.2034
10,3,9,1305785516.1112945,1305789821.001466,4304.8926
10,3,10,1498225117.0095627,1498288913.0628552,63796.06
10,3,11,1687645878.3139493,1687797078.1699812,151199.78
10,3,12,1601219141.459534,1601293935.6240332,74794.16
10,3,13,1485185861.5794005,1485192010.8851254,6149.309
10,3,14,1059219085.0582159,1059223915.0770835,4830.0156
10,3,15,987497720.1163146,987554396.5530912,56676.47
10,3,16,1012071000.3909025,1012173293.5871694,102293.21
10,3,17,1057186236.5879015,1057236096.6146939,49860.035
10,3,18,1203749188.6827292,1203752607.4674962,3418.7837
10,3,19,1294255725.3084927,1294261266.7517586,5541.4424
10,3,20,1413728722.8918676,1413804146.1214848,75423.14
10,4,1,860380931.6428297,860428704.2660555,47772.598
10,4,2,738271665.3187821,738275602.1572465,3936.8396
10,4,3,627707208.3072606,627707406.7487863,198.44167
10,4,4,402144931.79371065,402145126.6640088,194.87038
10,4,5,326500579.6922408,326503360.3924015,2780.7012
10,4,6,402606381.32354534,402624805.5309394,18424.217
10,4,7,436983039.5683764,436986241.73106676,3202.1624
10,4,8,526126123.8168968,526126328.1985645,204.3815
10,4,9,673989482.4765215,673989692.2128453,209.73653
10,4,10,684726925.0407643,684730812.477027,3887.4368
10,4,11,756696600.3032501,756745334.2637974,48733.953
10,4,12,762238572.4840239,762243052.0694401,4479.5874
10,4,13,689106022.8944395,689106236.3166319,213.42194
10,4,14,388664464.21246743,388664674.2847063,210.07225
10,4,15,363232466.24880403,363235784.23084795,3317.9802
10,4,16,393950945.03323793,393969569.6392121,18624.625
10,4,17,477005462.8830458,477008123.09995174,2660.2156
10,4,18,570577735.6402907,570577941.5590378,205.9187
10,4,19,651271049.5112131,651271262.3578537,212.84674
10,4,20,667712505.1771127,667716997.5052273,4492.741
10,5,1,614960098.4115998,614988326.9197292,28228.51
10,5,2,434634835.17537594,434636721.168822,1885.9933
10,5,3,390564301.4274024,390564392.98566854,91.55826
10,5,4,289363529.8709229,289363578.965645,49.094727
10,5,5,203853801.156592,203853866.93323895,65.77666
10,5,6,176882144.93787068,176882586.88991296,441.95242
10,5,7,201349036.40958643,201358238.04812738,9201.634
10,5,8,210576400.81614327,210580013.97442982,3613.1626
10,5,9,238397319.51365995,238397422.49046463,102.9769
10,5,10,262978427.07886332,262978482.8752917,55.79645
10,5,11,339567398.2963886,339567468.10595834,69.80962
10,5,12,420960639.2391497,420960852.6865041,213.4477
10,5,13,519826710.4624331,519845484.67715114,18774.2
10,5,14,419838099.3169702,419858699.129418,20599.822
10,5,15,402166850.1531627,402167152.3656823,302.21268
10,5,16,354870127.3436245,354870198.8469927,71.503365
10,5,17,227943450.31950137,227943506.85059258,56.53113
10,5,18,204996668.53610685,204996777.23507917,108.69904
10,5,19,183813255.8131702,183817348.17523563,4092.3643
10,5,20,203966182.120449,203976107.27154845,9925.154
10,5,21,248312996.06162643,248313409.4742315,413.41287
10,5,22,265582802.1419331,265582868.61358154,66.47162
10,5,23,298645721.2128112,298645771.38975316,50.17695
10,5,24,373506428.1556274,373506520.7638389,92.6083
10,5,25,471954609.0197535,471956962.275623,2353.258
15,1,1,738097644165.2961,738878198979.5715,780554600.0
15,2,1,6578913641.600778,6586159214.830336,7270421.0
15,2,2,6404408272.750319,6411493542.631418,7112675.5
15,2,3,5126362365.397928,5134657261.779477,8306959.5
15,2,4,5026366703.094689,5035546404.2617445,9184912.0
15,2,5,5684770759.435226,5694821424.617316,10098461.0
15,2,6,7018494852.994595,7027264119.469016,8769262.0
15,2,7,6712697073.805368,6721855762.476812,9232895.0
15,2,8,5505574232.15993,5515736067.609745,10182330.0
15,2,9,5158035742.0070715,5168102325.380878,10294698.0
15,2,10,5262386978.130978,5271771604.487457,9489384.0
15,3,1,1619454092.6312978,1619602522.5143542,148430.0
15,3,2,1564726929.2787106,1564783605.3556068,56773.81
15,3,3,1424085734.6419759,1424090294.4627693,4559.8228
15,3,4,1024609250.6067193,1024613239.2043127,3988.597
15,3,5,866351340.1648921,866402081.2332573,50743.84
15,3,6,954528425.9250629,954629263.131695,100837.086
15,3,7,940318727.1476945,940372309.4501846,53582.28
15,3,8,1119918306.3748446,1119922415.9048846,4109.5317
15,3,9,1305785504.3533008,1305789821.001466,4316.6484
15,3,10,1498224829.1102378,1498288913.0628552,64083.902
15,3,11,1687645009.5975494,1687797078.1699812,152068.52
15,3,12,1601218783.5691154,1601293935.6240332,75152.03
15,3,13,1485185809.4620206,1485192010.8851254,6201.4297
15,3,14,1059219046.8902583,1059223915.0770835,4868.1914
15,3,15,987497616.7778677,987554396.5530912,56779.78
