Iteracion,led_x,led_y,Diferencia,Data,Simuladas
1,1,1,738428503438.248,738878198979.5715,449695740.0
1,2,1,6581230943.423282,6586159214.830336,4946754.5
1,2,2,6406750039.549168,6411493542.631418,4779040.5
1,2,3,5129732427.803212,5134657261.779477,4924833.0
1,2,4,5030566322.795809,5035546404.2617445,4984069.5
1,2,5,5689413450.80581,5694821424.617316,5407967.0
1,2,6,7021623003.922605,7027264119.469016,5689052.0
1,2,7,6715321203.918584,6721855762.476812,6594741.0
1,2,8,5509648655.895795,5515736067.609745,6149065.0
1,2,9,5162794359.26239,5168102325.380878,5312172.5
1,2,10,5266566106.439886,5271771604.487457,5230410.0
1,3,1,1619505820.5566876,1619602522.5143542,96701.93
1,3,2,1564740030.8735418,1564783605.3556068,43574.453
1,3,3,1424087513.5031285,1424090294.4627693,2780.9624
1,3,4,1024609919.1684078,1024613239.2043127,3320.0356
1,3,5,866350640.9496135,866402081.2332573,51445.152
1,3,6,954526450.496697,954629263.131695,102812.63
1,3,7,940314949.3502603,940372309.4501846,57360.14
1,3,8,1119918209.3440425,1119922415.9048846,4206.5654
1,3,9,1305786767.7604032,1305789821.001466,3053.239
1,3,10,1498241780.8458097,1498288913.0628552,47132.223
1,3,11,1687698397.1820138,1687797078.1699812,98681.055
1,3,12,1601241719.7775373,1601293935.6240332,52215.875
1,3,13,1485188469.2994626,1485192010.8851254,3541.5815
1,3,14,1059219770.8468572,1059223915.0770835,4144.228
1,3,15,987498671.1459615,987554396.5530912,55725.387
1,3,16,1012068870.1535193,1012173293.5871694,104793.195
1,3,17,1057181757.2388909,1057236096.6146939,54339.41
1,3,18,1203749208.8149185,1203752607.4674962,3398.6555
1,3,19,1294257704.0608773,1294261266.7517586,3562.6887
1,3,20,1413751859.5350792,1413804146.1214848,52286.594
1,4,1,860404874.9082092,860428704.2660555,23829.328
1,4,2,738272602.1542931,738275602.1572465,3000.0015
1,4,3,627707283.6699442,627707406.7487863,123.07881
1,4,4,402145003.4875349,402145126.6640088,123.176445
1,4,5,326500219.04112726,326503360.3924015,3141.3506
1,4,6,402602566.5086297,402624805.5309394,22268.174
1,4,7,436982626.92012244,436986241.73106676,3614.8066
1,4,8,526126200.23683447,526126328.1985645,127.96165
1,4,9,673989556.612619,673989692.2128453,135.60011
1,4,10,684727690.7621216,684730812.477027,3121.718
1,4,11,756720971.7509918,756745334.2637974,24362.445
1,4,12,762239581.2062266,762243052.0694401,3470.8623
1,4,13,689106102.6220582,689106236.3166319,133.69452
1,4,14,388664542.97036284,388664674.2847063,131.3143
1,4,15,363232027.8621071,363235784.23084795,3756.3684
1,4,16,393946838.39121884,393969569.6392121,22731.24
1,4,17,477005040.66055286,477008123.09995174,3082.4348
1,4,18,570577804.5543506,570577941.5590378,137.00467
1,4,19,651271136.6434242,651271262.3578537,125.71447
1,4,20,667713505.0573769,667716997.5052273,3493.2896
1,5,1,614974690.717587,614988326.9197292,13636.202
1,5,2,434635229.1090029,434636721.168822,1492.0616
1,5,3,390564357.2729437,390564392.98566854,35.7127
1,5,4,289363565.94618213,289363578.965645,13.019476
1,5,5,203853835.19375998,203853866.93323895,31.739487
1,5,6,176882304.15111235,176882586.88991296,282.7389
1,5,7,201346456.52866387,201358238.04812738,11781.528
1,5,8,210575551.02890176,210580013.97442982,4462.946
1,5,9,238397380.95466757,238397422.49046463,41.535786
1,5,10,262978461.18445763,262978482.8752917,21.690836
1,5,11,339567438.9224419,339567468.10595834,29.183516
1,5,12,420960738.98059183,420960852.6865041,113.706
1,5,13,519836599.15501,519845484.67715114,8885.537
1,5,14,419849477.2317571,419858699.129418,9221.895
1,5,15,402167015.5805956,402167152.3656823,136.78519
1,5,16,354870168.59515333,354870198.8469927,30.25182
1,5,17,227943484.71643484,227943506.85059258,22.13414
1,5,18,204996736.6610481,204996777.23507917,40.574
1,5,19,183813226.39008304,183817348.17523563,4121.7856
1,5,20,203964145.931123,203976107.27154845,11961.347
1,5,21,248313087.21257025,248313409.4742315,322.26178
1,5,22,265582836.19878104,265582868.61358154,32.414833
1,5,23,298645757.0223977,298645771.38975316,14.367346
1,5,24,373506483.67080075,373506520.7638389,37.09308
1,5,25,471955268.69922024,471956962.275623,1693.5782
