Iteracion,led_x,led_y,Diferencia,Data,Simuladas
1,1,1,738019747125.0853,738878198979.5715,858452300.0
1,2,1,6578547187.469324,6586159214.830336,7707947.5
1,2,2,6402499678.41365,6411493542.631418,9034663.0
1,2,3,5124375263.226742,5134657261.779477,10349342.0
1,2,4,5025097720.446509,5035546404.2617445,10462587.0
1,2,5,5685366877.866111,5694821424.617316,9472807.0
1,2,6,7018056108.231694,7027264119.469016,9219231.0
1,2,7,6709505160.196618,6721855762.476812,12410425.0
1,2,8,5502653659.13185,5515736067.609745,13093640.0
1,2,9,5156768185.479087,5168102325.380878,11424850.0
1,2,10,5262837030.703593,5271771604.487457,9004195.0
1,3,1,1619411610.5570736,1619602522.5143542,190912.17
1,3,2,1564695663.665302,1564783605.3556068,87965.52
1,3,3,1424083448.1079855,1424090294.4627693,6846.3516
1,3,4,1024605993.0187078,1024613239.2043127,7246.1943
1,3,5,866305219.5600888,866402081.2332573,96894.52
1,3,6,954426606.5523885,954629263.131695,202656.69
1,3,7,940255026.0941911,940372309.4501846,117283.37
1,3,8,1119914085.183965,1119922415.9048846,8330.726
1,3,9,1305783078.2481716,1305789821.001466,6742.7437
1,3,10,1498197858.8152795,1498288913.0628552,91054.2
1,3,11,1687601993.4582222,1687797078.1699812,195084.8
1,3,12,1601192829.9514563,1601293935.6240332,101122.02
1,3,13,1485183970.2944381,1485192010.8851254,8040.583
1,3,14,1059214699.6850427,1059223915.0770835,9215.3955
1,3,15,987445698.666549,987554396.5530912,108697.82
1,3,16,1011967118.8813639,1012173293.5871694,206174.64
1,3,17,1057126080.2996466,1057236096.6146939,110016.3
1,3,18,1203745514.6741178,1203752607.4674962,7092.7915
1,3,19,1294252953.3108866,1294261266.7517586,8313.442
1,3,20,1413703631.307434,1413804146.1214848,100514.8
1,4,1,860378947.579914,860428704.2660555,49756.688
1,4,2,738270542.0558566,738275602.1572465,5060.104
1,4,3,627707197.6410352,627707406.7487863,209.10779
1,4,4,402144918.56201065,402145126.6640088,208.10204
1,4,5,326496488.9648964,326503360.3924015,6871.433
1,4,6,402577765.97296804,402624805.5309394,47039.516
1,4,7,436979157.95754904,436986241.73106676,7083.769
1,4,8,526126116.5712432,526126328.1985645,211.62741
