Iteracion,led_x,led_y,Diferencia,Data,Simuladas
1,1,1,733960407748.1334,738878198979.5715,4917793300.0
1,2,1,6536380183.672068,6586159214.830336,50592230.0
1,2,2,6364445019.988045,6411493542.631418,47916884.0
1,2,3,5083242753.154149,5134657261.779477,53923140.0
1,2,4,4977975419.555418,5035546404.2617445,58860800.0
1,2,5,5637177549.898531,5694821424.617316,59409620.0
1,2,6,6968682103.807321,7027264119.469016,59799664.0
1,2,7,6662238903.079974,6721855762.476812,62681668.0
1,2,8,5448889803.547697,5515736067.609745,68409720.0
1,2,9,5101278866.498282,5168102325.380878,68096970.0
1,2,10,5215926967.310028,5271771604.487457,57122868.0
2,1,1,733931752470.8463,738878198979.5715,4946446000.0
2,2,1,6536190972.97049,6586159214.830336,50785896.0
2,2,2,6364271883.707414,6411493542.631418,48099748.0
2,2,3,5083064585.219175,5134657261.779477,54120410.0
2,2,4,4977767633.981371,5035546404.2617445,59081970.0
2,2,5,5636956952.1363735,5694821424.617316,59642524.0
2,2,6,6968453825.4944725,7027264119.469016,60043224.0
2,2,7,6661996028.1645565,6721855762.476812,62952840.0
2,2,8,5448620168.783751,5515736067.609745,68700270.0
2,2,9,5101010444.861052,5168102325.380878,68375016.0
2,2,10,5215717598.472511,5271771604.487457,57343756.0
3,1,1,733874053653.5836,738878198979.5715,5004146000.0
3,2,1,6535809273.160842,6586159214.830336,51176644.0
3,2,2,6363922880.497614,6411493542.631418,48468530.0
3,2,3,5082705565.531616,5134657261.779477,54517692.0
3,2,4,4977349266.098864,5035546404.2617445,59527030.0
3,2,5,5636512648.679422,5694821424.617316,60111508.0
3,2,6,6967995266.490041,7027264119.469016,60534372.0
3,2,7,6661506310.351981,6721855762.476812,63499460.0
3,2,8,5448079688.8064995,5515736067.609745,69285670.0
3,2,9,5100469900.7045765,5168102325.380878,68934984.0
3,2,10,5215295905.52235,5271771604.487457,57788610.0
4,1,1,733786350821.7819,738878198979.5715,5091848000.0
4,2,1,6535228165.559813,6586159214.830336,51772320.0
4,2,2,6363391837.935207,6411493542.631418,49029930.0
4,2,3,5082159240.6610985,5134657261.779477,55122240.0
4,2,4,4976713487.2760105,5035546404.2617445,60203268.0
4,2,5,5635838376.856186,5694821424.617316,60824560.0
4,2,6,6967311550.446835,7027264119.469016,61282870.0
4,2,7,6660760260.493555,6721855762.476812,64331948.0
4,2,8,5447265958.20874,5515736067.609745,70176660.0
4,2,9,5099648204.630737,5168102325.380878,69786220.0
4,2,10,5214658033.851755,5271771604.487457,58465092.0
5,1,1,733667080946.9713,738878198979.5715,5211114500.0
5,2,1,6534435522.369203,6586159214.830336,52585870.0
5,2,2,6362668494.679085,6411493542.631418,49795148.0
